Issuer,Ticker,Coupon,Maturity,Issue Date,ISIN,Principal Currency,Country of Issue,Issuer Type,Instrument Type,Coupon Type,Amount Issued (USD),Bond Grade,Yield to Maturity,Option Adjusted Spread,Amount Outstanding,Parent Domicile,Sector,Rating,Actual,Outlook,Watch,Scope
Adler Pelzer Holding GmbH,GIAHLL,4.1250,31/03/2024,26/05/2021,XS2343857988,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"80,399,639",High Yield,24.5249580,"2,020.8","75,000,000",,Automotive Manufacturer,WD,Actual,,,Foreign
Adler Pelzer Holding GmbH,GIAHLL,4.1250,31/03/2024,26/05/2021,XS2343997305,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"80,399,639",High Yield,23.1851780,"2,027.0","75,000,000",,Automotive Manufacturer,WD,Actual,,,Foreign
Nykredit Realkredit A/S,FRNYKR,2.4333,31/03/2024,15/06/2021,DK0009533770,Danish Krone,Denmark,Corporate,Saerligt Daekkede Obligation (Covered Bond),Fixed Margin over Index,"3,523,873,090",Investment Grade,2.6317530,--,"20,032,268,138",Denmark,Mortgage Banking,A,Actual,Rating Outlook Stable,,Foreign
Charles Schwab Corp,SCHW,3.7500,31/03/2024,23/09/2021,US808513BU82,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"349,889,000",Investment Grade,5.2180730,31.0,"349,889,000",United States,Securities,A,Actual,Rating Outlook Stable,,Foreign
Nickel Industries Ltd,NKLDS,6.5000,31/03/2024,14/09/2021,US653894AA37,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"325,000,000",High Yield,9.2359310,433.7,"325,000,000",Australia,Metals/Mining,B+,Actual,Rating Outlook Negative,,Foreign
Realkredit Danmark A/S,DANSKT,1.0000,31/03/2024,31/10/2021,DK0004620556,Danish Krone,Denmark,Corporate,Saerligt Daekkede Realkreditobligation (Covered Bond),Plain Vanilla Fixed Coupon,"3,470,227,869",Investment Grade,3.3777780,59.7,"24,110,796,212",Denmark,Banking,A,Actual,Rating Outlook Stable,,Foreign
Citigroup Global Markets Holdings Inc,CCGMH,4.0800,31/03/2024,31/03/2022,XS2410425883,Chinese Yuan,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"31,811,185",Investment Grade,3.4884580,121.0,"217,000,000",United States,Securities,A+,Actual,Rating Outlook Stable,,Foreign
Nykredit Realkredit A/S,FRNYKR,1.0000,31/03/2024,13/09/2022,DK0009540395,Danish Krone,Denmark,Corporate,Saerligt Daekkede Obligation (Covered Bond),Plain Vanilla Fixed Coupon,"2,783,694,304",Investment Grade,3.4251530,64.4,"19,311,992,950",Denmark,Mortgage Banking,A,Actual,Rating Outlook Stable,,Foreign
Telus Corp,TXX,3.3500,31/03/2024,31/03/2013,CA87971MAR49,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,"825,206,301",Investment Grade,5.3680000,62.7,"1,100,000,000",Canada,Telecommunications,BBB,Actual,Rating Outlook Stable,,Foreign
Realkredit Danmark A/S,DANSKT,2.0000,31/03/2024,22/10/2012,DK0009290348,Danish Krone,Denmark,Corporate,Saerligt Daekkede Realkreditobligation (Covered Bond),Plain Vanilla Fixed Coupon,"193,306,786",Investment Grade,3.4677980,68.6,"857,081,118",Denmark,Banking,A,Actual,Rating Outlook Stable,,Foreign
Jersey Central Power & Light Co,FEJYP,4.7000,31/03/2024,20/08/2013,US476556DB87,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.7502920,83.8,"500,000,000",United States,Utility - Other,BBB,Actual,Rating Outlook Stable,,Foreign
Jersey Central Power & Light Co,FEJYP,4.7000,31/03/2024,20/08/2013,USU04536AC95,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.9101410,99.6,"500,000,000",United States,Utility - Other,BBB,Actual,Rating Outlook Stable,,Foreign
RR Donnelley & Sons Co,CHEPAR,6.0000,31/03/2024,19/03/2014,US257867BB61,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"400,000,000",High Yield,9.3370470,443.9,"61,738,000",,Service - Other,WD,Actual,,,Foreign
Pacificorp,PPWLO,3.6000,31/03/2024,12/03/2014,US695114CR72,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,"425,000,000",Investment Grade,5.1102280,20.2,"425,000,000",United States,Utility - Other,WD,Actual,,,Foreign
Quest Diagnostics Inc,DGX,4.2500,31/03/2024,16/03/2014,US74834LAV27,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"300,000,000",Investment Grade,5.4171230,50.7,"300,000,000",United States,Health Care Facilities,BBB,Actual,Rating Outlook Stable,,Foreign
EnLink Midstream Partners LP,ENLCMD,4.4000,31/03/2024,18/03/2014,US29336UAB35,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"550,000,000",High Yield,6.5001390,159.6,"97,934,000",United States,Oil and Gas,BBB-,Actual,Rating Outlook Stable,,Foreign
Bank of America Corp,BAC,4.0000,31/03/2024,31/03/2014,US06051GFF19,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"2,750,000,000",Investment Grade,5.0361590,12.9,"2,304,937,000",United States,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
Energy Transfer LP,ET,4.2500,31/03/2024,2/04/2014,US86765BAN91,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,5.5970860,68.9,"500,000,000",United States,Gas Utility - Pipelines,BBB-,Actual,Rating Outlook Positive,,Foreign
QVC Inc,QRTEAQ,4.8500,31/03/2024,9/06/2014,US747262AS23,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"600,000,000",High Yield,11.5277200,663.5,"600,000,000",United States,Retail Stores - Other,BB-,Actual,Rating Outlook Stable,,Foreign
Omega Healthcare Investors Inc,OHI,4.9500,31/03/2024,15/10/2014,US681936BB51,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"399,500,000",Investment Grade,5.9480870,103.4,"399,500,000",United States,Real Estate Investment Trust,BBB-,Actual,Rating Outlook Stable,,Foreign
Realkredit Danmark A/S,DANSKT,1.0000,31/03/2024,29/12/2014,DK0009295149,Danish Krone,Denmark,Corporate,Saerligt Daekkede Realkreditobligation (Covered Bond),Plain Vanilla Fixed Coupon,"6,622,606,723",Investment Grade,3.3209890,54.2,"37,907,966,842",Denmark,Banking,A,Actual,Rating Outlook Stable,,Foreign
Brookfield Finance LLC,BAMOF,4.0000,31/03/2024,9/03/2017,US11271RAA77,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"750,000,000",Investment Grade,5.3881350,48.0,"750,000,000",Canada,Financial - Other,A-,Actual,Rating Outlook Stable,,Foreign
Host Hotels & Resorts LP,HSTLP,3.8750,31/03/2024,19/03/2017,US44107TAX46,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"400,000,000",Investment Grade,5.5991160,69.4,"400,000,000",United States,Real Estate Investment Trust,BBB-,Actual,Rating Outlook Positive,,Foreign
Travel + Leisure Co,TNLXX,5.6500,31/03/2024,20/03/2017,US98310WAP32,US Dollar,United States,Corporate,Note,Step Up / Step Down,"300,000,000",High Yield,6.8147110,190.7,"300,000,000",United States,Lodging,BB-,Actual,Rating Outlook Negative,,Foreign
Grupo Unicomer Co Ltd,GRPUN,7.8750,31/03/2024,26/03/2017,US40053VAA17,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"350,000,000",High Yield,8.4544710,350.9,"350,000,000",El Salvador,Electronics,BB-,Actual,Rating Outlook Stable,,Foreign
Grupo Unicomer Co Ltd,GRPUN,7.8750,31/03/2024,26/03/2017,USG42037AA25,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"350,000,000",High Yield,8.4544710,350.3,"350,000,000",El Salvador,Electronics,BB-,Actual,Rating Outlook Stable,,Foreign
Adler Pelzer Holding GmbH,GIAHLL,4.1250,31/03/2024,5/04/2017,XS1533914591,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"375,198,319",High Yield,24.5249580,"2,020.8","350,000,000",,Automotive Manufacturer,WD,Actual,,,Foreign
Adler Pelzer Holding GmbH,GIAHLL,4.1250,31/03/2024,5/04/2017,XS1533918311,Euro,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"375,198,319",High Yield,23.1851780,"2,027.0","350,000,000",,Automotive Manufacturer,WD,Actual,,,Foreign
DGL2 Ltd,DIINVG,9.1250,31/03/2024,13/01/2019,US25382FAA93,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"993,015,766",High Yield,660.5852070,--,"993,015,767",,Telecommunications,WD,Actual,,,Foreign
DGL2 Ltd,DIINVG,9.1250,31/03/2024,13/01/2019,USG27639AA44,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"993,015,766",High Yield,660.5852070,--,"993,015,767",,Telecommunications,WD,Actual,,,Foreign
Canadian Imperial Bank of Commerce,CM,3.1000,1/04/2024,1/04/2019,US13607GAP90,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.2871700,38.2,"1,000,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
John Deere Cash Management SARL,DEANY,1.3750,1/04/2024,1/04/2020,XS2150006133,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"857,596,157",Investment Grade,3.2394350,23.9,"800,000,000",United States,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
Coventry Building Society,CVB,4.3658,1/04/2024,1/04/2020,XS2149428109,British Pound,Eurobond,Corporate,Covered Bond (Other),Fixed Margin over Index,"1,031,478,290",Investment Grade,4.4186230,--,"850,000,000",United Kingdom,Mortgage Banking,A-,Actual,Rating Outlook Stable,,Foreign
Airbus SE,AIR,2.3750,1/04/2024,1/04/2014,XS1050846507,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,071,995,197",Investment Grade,3.3464520,34.4,"823,004,000",Netherlands,Aerospace,BBB+,Actual,Rating Outlook Stable,,Foreign
Sumitomo Mitsui Financial Group Inc,SUMFG,4.4360,1/04/2024,1/04/2014,US86562MAA80,US Dollar,United States,Corporate,Bond,Plain Vanilla Fixed Coupon,"1,750,000,000",Investment Grade,5.8472010,94.3,"1,750,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Sumitomo Mitsui Financial Group Inc,SUMFG,4.4360,1/04/2024,1/04/2014,USJ7771XAB58,US Dollar,Eurobond,Corporate,Bond,Plain Vanilla Fixed Coupon,"1,750,000,000",Investment Grade,5.8401620,94.4,"1,750,000,000",Japan,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Fingrid Oyj,FINGD,3.5000,2/04/2024,2/04/2012,XS0768448796,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"321,598,559",Investment Grade,3.3634910,36.2,"300,000,000",Finland,Utility - Other,A+,Actual,Rating Outlook Stable,,Foreign
Banca Popolare Di Sondrio SpA,BPSI,2.3750,2/04/2024,2/04/2019,XS1975757789,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",High Yield,4.1929110,117.4,"500,000,000",Italy,Banking,BB+,Actual,Rating Outlook Stable,,Foreign
Koninklijke DSM NV,DSMN,2.3750,2/04/2024,5/03/2014,XS1041772986,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.1523560,15.4,"500,000,000",Netherlands,Chemicals,WD,Actual,,,Foreign
Bayerische Landesbank,BLGG,2.1900,2/04/2024,2/04/2014,DE000BLB2RF0,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"214,399,039",Investment Grade,3.4450390,--,"200,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Toronto-Dominion Bank,TD,0.5000,2/04/2024,2/04/2017,XS1588284056,Euro,Eurobond,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"1,339,993,996",Investment Grade,3.5439420,53.8,"1,250,000,000",Canada,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
John Deere Financial Inc,JODCAH,2.4600,3/04/2024,28/03/2019,CA47788ZAC55,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,"262,565,641",Investment Grade,5.0400000,30.3,"350,000,000",United States,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,DBANK,1.4000,3/04/2024,3/10/2022,DE000DW6CYB9,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.8026200,79.2,"100,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
ING Bank NV,INGABK,3.4192,3/04/2024,3/04/2014,XS1053594385,Euro,Netherlands,Corporate,Covered Bond (Other),Fixed then Floating,"1,607,992,796",Investment Grade,6.3538710,--,"1,500,000,000",Netherlands,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
PSP Capital Inc,PUBNVP,3.2900,3/04/2024,3/04/2014,CA69363TAH55,Canadian Dollar,Canada,Corporate,Note,Plain Vanilla Fixed Coupon,"1,125,281,320",Investment Grade,4.8146590,7.8,"1,500,000,000",Canada,Financial - Other,AAA,Actual,Rating Outlook Stable,,Foreign
YPF SA,YPFD,8.7500,3/04/2024,3/04/2014,USP989MJAY76,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,522,165,000",High Yield,15.4611380,"1,065.4","606,047,833",Argentina,Oil and Gas,CCC-,Actual,,,Foreign
YPF SA,YPFD,8.7500,3/04/2024,3/04/2014,US984245AK63,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,522,165,000",High Yield,15.2533480,"1,043.8","606,047,833",Argentina,Oil and Gas,CCC-,Actual,,,Foreign
Landesbank Hessen Thueringen Girozentrale,HLBG,0.5000,3/04/2024,3/04/2016,DE000HLB3AU7,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"107,199,519",Investment Grade,3.8097240,--,"100,000,000",Germany,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,2.5000,3/04/2024,3/04/2016,XS1308290664,Euro,Eurobond,Corporate,Note,Fixed then Floating,"61,708,089",Investment Grade,--,--,"57,478,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Volksbank Wien AG,VOKNK,4.4100,4/04/2024,3/10/2007,AT0000A06WF5,Euro,Austria,Corporate,Fundierte Schuldverschreibungen (Covered Bond),Plain Vanilla Fixed Coupon,"198,319,111",Investment Grade,3.7935240,78.5,"185,000,000",Austria,Banking,BBB+,Actual,Rating Outlook Stable,,Foreign
Morgan Stanley,MS,0.7310,4/04/2024,21/04/2021,US61772BAA17,US Dollar,United States,Corporate,Note,Fixed then Floating,"2,000,000,000",Investment Grade,5.5942760,342.1,"2,000,000,000",United States,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Goldman Sachs Group Inc,GS,3.2000,4/04/2024,4/04/2022,US38150ALR40,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"55,000,000",Investment Grade,6.1802650,128.0,"55,000,000",United States,Banking,A,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,0.3890,4/04/2024,4/04/2022,DE000BLB6JN2,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.6173570,61.0,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Sanofi SA,SASY,0.6250,4/04/2024,4/04/2016,FR0013143997,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,"643,197,118",Investment Grade,3.2576590,25.7,"600,000,000",France,Pharmaceuticals,A+,Actual,Rating Outlook Positive,,Foreign
Bupa Finance PLC,BUPALF,2.0000,4/04/2024,4/04/2017,XS1592647264,British Pound,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"364,051,161",Investment Grade,5.1591180,133.2,"300,000,000",United Kingdom,Financial - Other,A-,Actual,Rating Outlook Stable,,Foreign
Element Fleet Management Corp,EFN,1.6000,5/04/2024,5/04/2021,US286181AF90,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,6.2058580,127.9,"500,000,000",Canada,Service - Other,BBB+,Actual,Rating Outlook Stable,,Foreign
Element Fleet Management Corp,EFN,1.6000,5/04/2024,5/04/2021,USC3318LAB74,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",Investment Grade,6.1352360,121.7,"500,000,000",Canada,Service - Other,BBB+,Actual,Rating Outlook Stable,,Foreign
Credit Agricole Corporate and Investment Bank SA,CAGRAB,3.7500,5/04/2024,5/04/2022,XS2317954563,Chinese Yuan,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"20,669,393",Investment Grade,--,--,"140,000,000",France,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Nordstrom Inc,JWN,2.3000,7/04/2024,27/07/2021,US655664AX82,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"250,000,000",High Yield,7.1554560,225.9,"250,000,000",United States,Retail Stores - Other,BB+,Actual,Rating Outlook Stable,,Foreign
Malayan Banking Bhd,MBBM,3.7000,7/04/2024,7/04/2019,XS1977256566,Chinese Yuan,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"29,319,064",Investment Grade,4.7693920,245.2,"200,000,000",Malaysia,Banking,WD,Actual,Rating Outlook Stable,,Foreign
Emirates NBD Bank PJSC,ENBD,6.3617,7/04/2024,7/04/2019,XS1978328356,US Dollar,Eurobond,Corporate,Note,Fixed Margin over Index,"60,000,000",Investment Grade,6.5561830,--,"60,000,000",United Arab Emirates,Banking,A+,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,3.0280,7/04/2024,7/04/2020,DE000BLB81D2,Euro,Germany,Corporate,Inhaberschuldverschreibung,Fixed Margin over Index,"321,598,559",Investment Grade,4.1192740,--,"300,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Heimstaden Bostad AB,HEIMS,3.4750,7/04/2024,7/04/2021,XS2327839580,Swedish Krona,Eurobond,Corporate,Note,Fixed Margin over Index,"48,200,669",Investment Grade,5.9328540,--,"500,000,000",,Home Builders,BBB,Actual,Rating Outlook Negative,,Foreign
Nykredit Realkredit A/S,FRNYKR,3.1780,7/04/2024,2/03/2022,DK0030505805,Euro,Denmark,Corporate,Covered Bond (Other),Fixed Margin over Index,"80,062,341",Investment Grade,--,--,"75,000,000",Denmark,Mortgage Banking,A,Actual,Rating Outlook Stable,,Foreign
Toyota Finance Australia Ltd,TOYFA,0.8150,7/04/2024,7/04/2022,XS2467721267,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"116,847,476",Investment Grade,3.6947460,68.7,"109,000,000",Japan,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,1.7500,7/04/2024,7/04/2014,DE000BLB6H53,Euro,Germany,Corporate,Oeffentlicher Pfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.4674950,46.5,"500,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Kimberly-Clark de Mexico SAB de CV,KIMBE,3.8000,7/04/2024,7/04/2014,US494386AB14,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"250,000,000",Investment Grade,5.8561000,95.7,"250,000,000",Mexico,Conglomerate/Diversified Mfg,A,Actual,Rating Outlook Stable,,Foreign
Kimberly-Clark de Mexico SAB de CV,KIMBE,3.8000,7/04/2024,7/04/2014,USP60694CL19,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"250,000,000",Investment Grade,5.8561000,96.5,"250,000,000",Mexico,Conglomerate/Diversified Mfg,A,Actual,Rating Outlook Stable,,Foreign
Bayerische Landesbank,BLGG,0.9000,7/04/2024,7/04/2015,DE000BLB2967,Euro,Germany,Corporate,Inhaberschuldverschreibung,Step Up / Step Down,"107,199,519",Investment Grade,4.3613270,134.0,"100,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
Toyota Finance Australia Ltd,TOYFA,0.2500,8/04/2024,8/04/2019,XS1978200639,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.5439430,54.0,"500,000,000",Japan,Financial - Other,A+,Actual,Rating Outlook Stable,,Foreign
China SCE Group Holdings Ltd,CASCE,7.3750,8/04/2024,8/04/2019,XS1974405893,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,71.8887870,"6,718.2","500,000,000",China (Mainland),Home Builders,WD,Actual,,,Foreign
NIBC Bank NV,NEWNIB,2.0000,8/04/2024,8/04/2019,XS1978668298,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,4.4472720,142.4,"500,000,000",United States,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
DNB Bank ASA,DNB,0.2500,8/04/2024,8/04/2019,XS1979262448,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.5721640,56.7,"750,000,000",Norway,Banking,WD,Actual,,,Foreign
ING Groep NV,INGA,3.5500,8/04/2024,8/04/2019,US456837AP87,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.2774640,37.9,"1,000,000,000",Netherlands,Banking,A+,Actual,Rating Outlook Stable,,Foreign
OMV AG,OMVV,1.5000,8/04/2024,8/04/2020,XS2154347293,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.4467910,44.5,"500,000,000",Austria,Oil and Gas,A-,Actual,Rating Outlook Stable,,Foreign
DZ BANK AG Deutsche Zentral Genossenschaftsbank Frankfurt am Main,DBANK,0.0100,8/04/2024,8/04/2021,DE000DFK0J64,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"107,199,519",Investment Grade,3.9619430,94.9,"100,000,000",Germany,Banking,AA-,Actual,Rating Outlook Stable,,Foreign
UniCredit Bank AG,UCGUNI,1.8750,8/04/2024,8/04/2014,DE000HV2AK00,Euro,Germany,Corporate,Hypothekenpfandbrief (Covered Bond),Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.4600450,45.8,"500,000,000",Italy,Banking,BBB+,Actual,Rating Outlook Stable,,Foreign
Intesa Sanpaolo SpA,ISP,1.5000,9/04/2024,9/04/2019,XS1979446843,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,3.7412340,73.4,"500,000,000",Italy,Banking,BBB,Actual,Rating Outlook Stable,,Foreign
Aareal Bank AG,ARLG,0.3750,9/04/2024,9/04/2019,DE000A2E4CQ2,Euro,Germany,Corporate,Inhaberschuldverschreibung,Plain Vanilla Fixed Coupon,"535,997,598",Investment Grade,4.1436510,112.7,"500,000,000",,Banking,BBB+,Actual,Rating Outlook Negative,,Foreign
Gmr Hyderabad International Airport Ltd,GMRIHA,5.3750,9/04/2024,9/04/2019,USY3004WAB82,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"300,000,000",High Yield,6.7438260,185.8,"173,560,000",India,Airline,BB+,Actual,Rating Outlook Stable,,Foreign
Gmr Hyderabad International Airport Ltd,GMRIHA,5.3750,9/04/2024,9/04/2019,US36256WAB00,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"300,000,000",High Yield,6.7438260,185.0,"173,560,000",India,Airline,BB+,Actual,Rating Outlook Stable,,Foreign
Criteria Caixa SAU,CAIXAR,1.3750,9/04/2024,9/04/2019,ES0305045009,Euro,Spain,Corporate,Bond,Plain Vanilla Fixed Coupon,"643,197,118",Investment Grade,3.7037230,69.7,"600,000,000",Spain,Financial - Other,BBB+,Actual,Rating Outlook Stable,,Foreign
Norddeutsche Landesbank Girozentrale,NORDL,6.2500,9/04/2024,9/04/2014,XS1055787680,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"500,000,000",High Yield,8.3702780,348.9,"500,000,000",Germany,Banking,A-,Actual,Rating Outlook Stable,,Foreign
MetLife Inc,MET,3.6000,9/04/2024,9/04/2014,US59156RBH03,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,000,000,000",Investment Grade,5.1494660,25.2,"1,000,000,000",United States,Life Insurance,A,Actual,Rating Outlook Stable,,Foreign
Basler Kantonalbank,BSKP,0.1250,10/04/2024,10/04/2018,CH0394905704,Swiss Franc,Switzerland,Corporate,Bond,Plain Vanilla Fixed Coupon,"163,185,378",Investment Grade,1.8339200,32.5,"150,000,000",Switzerland,Banking,AAA,Actual,Rating Outlook Stable,,Foreign
Telecom Italia SpA,TLIT,4.0000,10/04/2024,10/01/2019,XS1935256369,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,339,993,996",High Yield,5.3289060,228.6,"1,250,000,000",Italy,Telecommunications,BB-,Actual,Rating Outlook Negative,,Foreign
Elis SA,ELIS,1.7500,10/04/2024,10/04/2019,FR0013413556,Euro,France,Corporate,Bond,Plain Vanilla Fixed Coupon,"535,997,598",High Yield,4.2219120,120.5,"500,000,000",France,Service - Other,WD,Actual,Rating Outlook Stable,,Foreign
Tencent Holdings Ltd,TENCN,3.2800,10/04/2024,10/04/2019,US88032WAL00,US Dollar,United States,Corporate,Note,Plain Vanilla Fixed Coupon,"1,250,000,000",Investment Grade,5.3702910,47.4,"1,250,000,000",China (Mainland),Telecommunications,A+,Actual,Rating Outlook Stable,,Foreign
Tencent Holdings Ltd,TENCN,5.6926,10/04/2024,10/04/2019,US88032WAP14,US Dollar,United States,Corporate,Note,Fixed Margin over Index,"750,000,000",Investment Grade,5.8554130,--,"750,000,000",China (Mainland),Telecommunications,A+,Actual,Rating Outlook Stable,,Foreign
Tencent Holdings Ltd,TENCN,3.2800,10/04/2024,10/04/2019,US88032XAL82,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"1,250,000,000",Investment Grade,5.3550060,46.8,"1,250,000,000",China (Mainland),Telecommunications,A+,Actual,Rating Outlook Stable,,Foreign
Tencent Holdings Ltd,TENCN,5.6926,10/04/2024,10/04/2019,US88032XAP96,US Dollar,Eurobond,Corporate,Note,Fixed Margin over Index,"750,000,000",Investment Grade,5.8554130,--,"750,000,000",China (Mainland),Telecommunications,A+,Actual,Rating Outlook Stable,,Foreign
Bank Mandiri (Persero) Tbk PT,BMRI,3.7500,10/04/2024,10/04/2019,XS1978319108,US Dollar,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"750,000,000",Investment Grade,5.6817410,79.5,"750,000,000",Indonesia,Banking,BBB-,Actual,,,Foreign
Dexia Credit Local SA,DEXID,2.2500,10/04/2024,10/04/2014,XS1055439993,Euro,Eurobond,Corporate,Note,Plain Vanilla Fixed Coupon,"215,471,034",Investment Grade,3.5807320,57.7,"201,000,000",Belgium,Banking,BBB+,Actual,Rating Outlook Stable,,Foreign
Commonwealth Bank of Australia,CBA,0.3750,10/04/2024,10/04/2017,XS1594339514,Euro,Eurobond,Corporate,Covered Bond (Other),Plain Vanilla Fixed Coupon,"803,996,398",Investment Grade,3.6055780,60.1,"750,000,000",Australia,Banking,A+,Actual,Rating Outlook Stable,,Foreign
